station,date,N2_s2,rmm1,rmm2,phase,amplitude,group
PSM00091408,1980-01-01,9.743148918052509e-05,0.81158602,-0.0664675981,4.0,0.81430298,4-5
PSM00091408,1980-01-02,0.00013340160335660145,0.70508802,-0.0296842996,4.0,0.70571202,4-5
PSM00091408,1980-01-03,0.00011201087670153227,0.66273302,0.0371988006,5.0,0.66377598,4-5
PSM00091408,1980-01-04,0.00012075741087409719,0.61483997,0.21363001,5.0,0.65089601,4-5
PSM00091408,1980-01-05,0.00016779286798240727,0.70287699,0.490769,5.0,0.85725701,4-5
PSM00091408,1980-01-06,0.00014410575636746964,0.75870401,0.60417497,5.0,0.96987599,4-5
PSM00091408,1980-01-07,0.00010651529108134655,0.67490202,0.37900099,5.0,0.774037,4-5
PSM00091408,1980-01-08,5.241393082324506e-05,0.764337,0.197338,5.0,0.78939998,4-5
PSM00091408,1980-01-09,0.00012087710001108762,0.79588002,0.209051,5.0,0.822878,4-5
PSM00091408,1980-01-10,6.885596849817053e-05,0.93735802,0.25680801,5.0,0.971901,4-5
PSM00091408,1980-01-11,7.970503217688587e-05,0.91751301,0.25690401,5.0,0.95280099,4-5
PSM00091408,1980-01-12,0.00015885126782814066,0.62212801,0.0601833984,5.0,0.62503201,4-5
PSM00091408,1980-01-13,0.00013986664182657452,0.46970299,-0.16064,4.0,0.49641299,4-5
PSM00091408,1980-01-14,0.00012413984036230042,0.33245999,-0.2086,4.0,0.39248601,4-5
PSM00091408,1980-01-15,0.00012070098737568594,0.0168979,-0.44205999,3.0,0.44238099,2-3
PSM00091408,1980-01-16,0.0001135455519932631,-0.21734001,-0.95670003,2.0,0.98107499,2-3
PSM00091408,1980-01-17,0.0001680864325416131,-0.17184,-1.20886,2.0,1.22102,2-3
PSM00091408,1980-01-18,0.0001079895780464934,-0.0866091996,-1.07414,2.0,1.07763,2-3
PSM00091408,1980-01-19,0.00015110579149897683,0.0963959023,-0.61123002,3.0,0.61878598,2-3
PSM00091408,1980-01-20,0.00012448370788809736,0.50621098,-0.35878,4.0,0.620462,4-5
PSM00091408,1980-01-21,0.00011555742968546216,0.53283799,-0.21610001,4.0,0.57499099,4-5
PSM00091408,1980-01-22,0.00015091550501556707,0.47165,-0.33113,4.0,0.57628101,4-5
PSM00091408,1980-01-23,0.00020589759685380962,0.68461001,-0.54715002,4.0,0.87639397,4-5
PSM00091408,1980-01-24,0.0001303293117774555,0.84736502,-0.60159999,4.0,1.03921,4-5
PSM00091408,1980-01-25,0.00012162858982371345,0.81304801,-0.30063999,4.0,0.86685097,4-5
PSM00091408,1980-01-26,0.00011192010445573257,0.66526198,-0.0844170004,4.0,0.67059702,4-5
PSM00091408,1980-01-27,0.00017181395214534007,0.62538201,0.14944901,5.0,0.64299101,4-5
PSM00091408,1980-01-28,0.0001619259542644053,0.82194197,0.0229614992,5.0,0.822263,4-5
PSM00091408,1980-01-29,0.00015336432721256056,0.96720999,-0.0567325018,4.0,0.96887201,4-5
PSM00091408,1980-01-30,8.807421376846389e-05,0.87656897,0.1141,5.0,0.883964,4-5
PSM00091408,1980-01-31,0.00010695875143706115,0.51901698,0.70504099,6.0,0.87547702,6-7
PSM00091408,1980-02-01,9.077986021750407e-05,0.233045,0.901784,6.0,0.931409,6-7
PSM00091408,1980-02-02,0.00015153057839340035,-0.24327999,0.76915997,7.0,0.80671799,6-7
PSM00091408,1980-02-03,0.00013010049282168536,-0.39820999,0.81482899,7.0,0.906928,6-7
PSM00091408,1980-02-04,9.621099530622336e-05,-0.14779,1.11489,7.0,1.12464,6-7
PSM00091408,1980-02-05,7.193837908600948e-05,0.0196656007,1.05255,6.0,1.05273,6-7
PSM00091408,1980-02-06,0.00011545975104037653,-0.0809400007,0.84811097,7.0,0.851964,6-7
PSM00091408,1980-02-07,0.0001299134351904866,-0.32124001,0.74163401,7.0,0.80821902,6-7
PSM00091408,1980-02-08,0.00017680334914511314,-0.49851999,0.82187098,7.0,0.96124399,6-7
PSM00091408,1980-02-09,0.00016774041922639808,-0.51025999,0.70109302,7.0,0.86711699,6-7
PSM00091408,1980-02-10,0.0001228467734794944,-0.52833003,0.83353198,7.0,0.98686898,6-7
PSM00091408,1980-02-11,9.894198909086729e-05,-0.72166997,0.77766103,7.0,1.06093,6-7
PSM00091408,1980-02-12,0.00014343022491765191,-0.52811998,1.05293,7.0,1.17796,6-7
PSM00091408,1980-02-13,0.00015941536056657648,-0.44819,0.993433,7.0,1.08986,6-7
PSM00091408,1980-02-14,0.00012960967548745583,-0.32365,0.78509903,7.0,0.849195,6-7
PSM00091408,1980-02-15,0.0001202278370674776,-0.36265001,0.60715801,7.0,0.70721799,6-7
PSM00091408,1980-02-16,0.00011787199169601498,-0.36781001,0.43925601,7.0,0.57291502,6-7
PSM00091408,1980-02-17,0.00020440111853238575,-0.29955,0.26092499,8.0,0.39726001,1-8
PSM00091408,1980-02-18,0.0001250647281148078,-0.12333,0.33980399,7.0,0.36149201,6-7
PSM00091408,1980-02-19,0.00016057005591407772,0.0895472988,0.0824073032,5.0,0.121695,4-5
PSM00091408,1980-02-20,0.00016461736460536742,0.0715968981,0.0690639988,5.0,0.0994784012,4-5
PSM00091408,1980-02-21,0.0001473951894830002,0.281596,0.24561401,5.0,0.37366101,4-5
PSM00091408,1980-02-22,0.00012986855999304344,0.44250599,0.446033,6.0,0.62829697,6-7
PSM00091408,1980-02-23,0.00012097559566147145,0.41584301,0.58643901,6.0,0.71891302,6-7
PSM00091408,1980-02-24,0.00017231212813968,0.30460799,0.26958501,5.0,0.40676999,4-5
PSM00091408,1980-02-25,0.00020006030830439116,0.0914741009,-0.17942999,3.0,0.20140199,2-3
PSM00091408,1980-02-26,0.00011287094376821615,0.0559412017,-0.25916001,3.0,0.26513299,2-3
PSM00091408,1980-02-27,0.00018578693523628237,0.31326801,-0.29811001,4.0,0.43244201,4-5
PSM00091408,1980-02-28,0.00011605242670326272,0.480836,-0.65562999,3.0,0.81305301,2-3
PSM00091408,1980-02-29,0.00013093616546376428,0.172521,-0.62696999,3.0,0.65026897,2-3
PSM00091408,1980-03-01,0.00015587753946192282,0.0480426997,-0.51520997,3.0,0.51744199,2-3
PSM00091408,1980-03-02,0.00016740974837940013,-0.0108145,-0.74273002,2.0,0.74281102,2-3
PSM00091408,1980-03-03,0.00013266735662742014,-0.0151589001,-0.75049001,2.0,0.75063998,2-3
PSM00091408,1980-03-04,0.00013482270471123852,0.15880799,-0.76555997,3.0,0.78185397,2-3
PSM00091408,1980-03-05,0.0001401950743393411,0.51386201,-0.80956,3.0,0.95887399,2-3
PSM00091408,1980-03-06,0.0001884626480320314,0.70363301,-1.02639,3.0,1.2444201,2-3
PSM00091408,1980-03-07,0.00016387755497369172,1.1100399,-0.88705999,4.0,1.42094,4-5
PSM00091408,1980-03-08,0.00016529577822019205,1.3751,-0.76165003,4.0,1.57195,4-5
PSM00091408,1980-03-09,0.00013047840170517298,1.7723401,-0.58227998,4.0,1.86554,4-5
PSM00091408,1980-03-10,9.090554443525428e-05,1.52907,-0.6322,4.0,1.65461,4-5
PSM00091408,1980-03-11,0.00013279218492674152,1.31934,-0.38672999,4.0,1.37485,4-5
PSM00091408,1980-03-12,0.00016763677760092688,1.37726,0.0205239002,5.0,1.3774101,4-5
PSM00091408,1980-03-13,0.00016760154785323806,0.93082702,0.0900465995,5.0,0.93517202,4-5
PSM00091408,1980-03-14,0.00011926062434240093,0.94233698,0.225135,5.0,0.968858,4-5
PSM00091408,1980-03-15,0.00014962853478290414,1.23985,0.140948,5.0,1.24783,4-5
PSM00091408,1980-03-16,9.360134444071994e-05,0.91166401,0.20553701,5.0,0.93454599,4-5
PSM00091408,1980-03-17,0.0001422122187216306,0.71530902,0.72222,6.0,1.0165,6-7
PSM00091408,1980-03-18,0.00013091603990637716,0.70708698,1.23332,6.0,1.42164,6-7
PSM00091408,1980-03-19,0.0001310022433243553,0.73164701,1.4139301,6.0,1.59202,6-7
PSM00091408,1980-03-20,0.00015827463080566201,0.66383702,1.40415,6.0,1.55316,6-7
PSM00091408,1980-03-21,0.00015357635057396704,0.37003499,1.5035501,6.0,1.5484101,6-7
PSM00091408,1980-03-22,0.00013491351424823185,0.356062,1.41811,6.0,1.4621201,6-7
PSM00091408,1980-03-23,0.00013554118330544437,0.48897699,1.36887,6.0,1.45358,6-7
PSM00091408,1980-03-24,0.00011142511460704464,0.370689,1.47068,6.0,1.51667,6-7
PSM00091408,1980-03-25,0.00015592059533027955,0.0385956988,1.56006,6.0,1.56054,6-7
PSM00091408,1980-03-26,0.00017186750353966897,-0.10629,1.63858,7.0,1.64202,6-7
PSM00091408,1980-03-27,0.00012141328917493545,-0.45242,1.7503,7.0,1.80783,6-7
PSM00091408,1980-03-28,6.632436662747103e-05,-0.67717999,1.67788,7.0,1.8093801,6-7
PSM00091408,1980-03-29,0.00013715591069567937,-1.1851799,1.66754,7.0,2.04581,6-7
PSM00091408,1980-03-30,0.0001065196842419889,-1.86396,1.54808,8.0,2.4229901,1-8
PSM00091408,1980-03-31,0.0001650896352616971,-2.4639201,1.49018,8.0,2.8794999,1-8
